id,path,checksum,source,creator,license,rightsStatus,citation,reviewer,reviewedAt,auditVerified,releaseAllowed,reason,contractRef
radio-vaigyaaniq-landing-hero-png,/radio-html/assets/radio-vaigyaaniq-landing-hero.png,672266dd33b9b5d9c57c5f5e5f4a375bd162dc056a3b4d36f4ce783e0e012d69,existing-local-file:/radio-html/assets/radio-vaigyaaniq-landing-hero.png,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
radio-vaigyaaniq-divine-hero-png,/radio-html/assets/radio-vaigyaaniq-divine-hero.png,c1d8967df4a3a314a273d510c3c13e7c00c19386c0147e93ed7238a959d008e6,existing-local-file:/radio-html/assets/radio-vaigyaaniq-divine-hero.png,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
images-radio-vaigyaaniq-runtime-hero-svg,/radio-html/assets/images/radio-vaigyaaniq-runtime-hero.svg,6264c9011abd5eb8860e63f56ca473675fd29134f3b94dec1dc7838bd17ae38a,generated-local-draft:/radio-html/assets/images/radio-vaigyaaniq-runtime-hero.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
images-radio-vaigyaaniq-samaya-panel-svg,/radio-html/assets/images/radio-vaigyaaniq-samaya-panel.svg,cb117925d2260d5a607621275e93aae05e0c39c70901e647503cf14be30c1f1b,generated-local-draft:/radio-html/assets/images/radio-vaigyaaniq-samaya-panel.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
covers-mahamatya-svg,/radio-html/assets/covers/mahamatya.svg,0f57b5f1b3ec614e86bb8fd827435e37ee058d94b16659007af78bc5dab58e01,generated-local-draft:/radio-html/assets/covers/mahamatya.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
covers-gokul-svg,/radio-html/assets/covers/gokul.svg,736819e1fd88477ed533a7638ee08c474104cb421ebab29ff602b4351e6d4a41,generated-local-draft:/radio-html/assets/covers/gokul.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
covers-kaal-chakra-svg,/radio-html/assets/covers/kaal-chakra.svg,842077b4b2b9ed5157c2f131391bf200e02d181705e13f5a76ccfa8cd4c78e21,generated-local-draft:/radio-html/assets/covers/kaal-chakra.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
covers-swarnim-sale-svg,/radio-html/assets/covers/swarnim-sale.svg,7c5ec0fe02363c884de46e08c85244300d2098b0b62a5a804256da119d55bec8,generated-local-draft:/radio-html/assets/covers/swarnim-sale.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
icons-like-svg,/radio-html/assets/icons/like.svg,511b5792d02e1088d44f243b1896c4a39179a97f466b6c5d059505901cc260a7,generated-local-draft:/radio-html/assets/icons/like.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
icons-save-svg,/radio-html/assets/icons/save.svg,ace9452bdfe260673d75f67e4895c8c26de8c4dbd848d831831b5fb2034bd9ab,generated-local-draft:/radio-html/assets/icons/save.svg,VESAHE Film Solutions Private Limited (P.H.K.D.),Proprietary — © VESAHE Film Solutions Private Limited; cleared for project use,verified,Owner-generated interface asset; rights pack: _radio_index/Rights_Declarations_and_Agreements.docx,Hemant,2026-06-25,true,true,owner-created interface asset,Rights_Declarations_and_Agreements.docx
