id,path,checksum,source,creator,license,rightsStatus,citation,reviewer,reviewedAt,auditVerified,releaseAllowed,reason,contractRef
radio-vaigyaaniq-landing-hero-png,/radio-html/assets/radio-vaigyaaniq-landing-hero.png,672266dd33b9b5d9c57c5f5e5f4a375bd162dc056a3b4d36f4ce783e0e012d69,,,,,,,,false,false,,
radio-vaigyaaniq-divine-hero-png,/radio-html/assets/radio-vaigyaaniq-divine-hero.png,c1d8967df4a3a314a273d510c3c13e7c00c19386c0147e93ed7238a959d008e6,,,,,,,,false,false,,
images-radio-vaigyaaniq-runtime-hero-svg,/radio-html/assets/images/radio-vaigyaaniq-runtime-hero.svg,6264c9011abd5eb8860e63f56ca473675fd29134f3b94dec1dc7838bd17ae38a,,,,,,,,false,false,,
images-radio-vaigyaaniq-samaya-panel-svg,/radio-html/assets/images/radio-vaigyaaniq-samaya-panel.svg,cb117925d2260d5a607621275e93aae05e0c39c70901e647503cf14be30c1f1b,,,,,,,,false,false,,
covers-mahamatya-svg,/radio-html/assets/covers/mahamatya.svg,0f57b5f1b3ec614e86bb8fd827435e37ee058d94b16659007af78bc5dab58e01,,,,,,,,false,false,,
covers-gokul-svg,/radio-html/assets/covers/gokul.svg,736819e1fd88477ed533a7638ee08c474104cb421ebab29ff602b4351e6d4a41,,,,,,,,false,false,,
covers-kaal-chakra-svg,/radio-html/assets/covers/kaal-chakra.svg,842077b4b2b9ed5157c2f131391bf200e02d181705e13f5a76ccfa8cd4c78e21,,,,,,,,false,false,,
covers-swarnim-sale-svg,/radio-html/assets/covers/swarnim-sale.svg,7c5ec0fe02363c884de46e08c85244300d2098b0b62a5a804256da119d55bec8,,,,,,,,false,false,,
icons-like-svg,/radio-html/assets/icons/like.svg,511b5792d02e1088d44f243b1896c4a39179a97f466b6c5d059505901cc260a7,,,,,,,,false,false,,
icons-save-svg,/radio-html/assets/icons/save.svg,ace9452bdfe260673d75f67e4895c8c26de8c4dbd848d831831b5fb2034bd9ab,,,,,,,,false,false,,
icons-gift-svg,/radio-html/assets/icons/gift.svg,fcb19152e1fe8540a79a42efc46f0dfce45bea82f88049445c360c52236ff80a,,,,,,,,false,false,,
icons-share-svg,/radio-html/assets/icons/share.svg,15d20f99bc8b00f343560b33beeae2eecdeef2ec5d5e7d4b855cc14c7ca10d4b,,,,,,,,false,false,,
icons-tts-svg,/radio-html/assets/icons/tts.svg,5b9648590dad896ae63af55051bdf1829ceb0468fd35f7b1ddbaeee5d2349d3d,,,,,,,,false,false,,
icons-mic-svg,/radio-html/assets/icons/mic.svg,8ce10da9cbb8039ca912e862d31c7a7fb1bab667ddce165c945044ac53253bfc,,,,,,,,false,false,,
shaders-radio-spectrum-frag,/radio-html/assets/shaders/radio-spectrum.frag,c12c21d44d7d820daf7a77d510d37e1c972be76a94abba0d756a3e3d3ebb28ec,,,,,,,,false,false,,
shaders-radio-yantra-vert,/radio-html/assets/shaders/radio-yantra.vert,a3af18c131c3b49da7822b9ef791164cd8a422c7d9b6ba76089aa693f94d3eb8,,,,,,,,false,false,,
audio-phkd-audio-placeholder-json,/radio-html/assets/audio/PHKD_AUDIO_PLACEHOLDER.json,7654f1f0909d18c4ea870b464c7d43b838030df9e454dc34c6709ca159dfa978,,,,,,,,false,false,,
vendor-three-min-js,/radio-html/assets/vendor/three.min.js,9274bbcec8d96168626c732b5d31c775aa8cfb7eaa0599bec0c175908a2c1ce2,,,,,,,,false,false,,
vendor-three-module-min-js,/radio-html/assets/vendor/three.module.min.js,36a60b0120335f89a80a0dab70292292b0ec414b3d05e83cd09a3ea428c6712a,,,,,,,,false,false,,
