board	laneId	laneTitle	trackId	title	station	theme	language	style	lyricsReady	cueCount
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	30e92ffe-423f-48cf-9e93-5fd9bb7113c1	विज़ुअल: अंतरिक्ष में तैरते हुए ३३-डिजिट संख्या	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	true	30
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	d5f6d9bc-5c76-48d6-859d-957ef84f79b3	हनुमान-अनुमान छट	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Heavy cinematic Vedic metal-phonk epic, 115 to 142 BPM, roaring traditional dhol	true	28
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	1bb556f0-a4fb-4994-9096-3ab4f66de0b8	विज़ुअल: अंतरिक्ष में घूमते सूर्य और ग्रहों के ब	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	true	28
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	ada89c81-d8fa-4ec0-9938-d9435397b7cd	हा... हू... हौ... हन्... हनु... हनु... हनु... मा	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	true	29
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	0691bbaf-1f16-453a-9c00-0eecd71d1e14	३३-डिजिट नियॉन	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Hyper-aggressive cinematic Vedic folk-hop epic, 115 BPM, rapid-fire phonetic sta	true	29
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	bcb08d50-076e-4408-ae04-389701191ee3	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	true	32
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	31cd60d6-6b7d-4e15-9847-9c3866d60440	जुग सहस्र जोजन पर भानू	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	true	29
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	7333a108-d5a5-4cf4-9e36-6ce6aec10997	Chhat-Chhat Sanaatana	gurukul	Other / Misc	English	NULL	true	14
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	1fe3b620-3a18-4632-b128-12c1b2245f47	Hyper-dynamic Indian electronic folk-pop	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	true	14
albums	sanaatana-vedic-frequency	Sanaatana Vedic Frequency	83db2f7e-ae48-418d-9587-c807af8e24e3	चक्र-इंजन शंखनाद	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Aggressive cinematic Vedic folk-hop epic, 115 BPM, intense traditional Chalisa r	true	29
