id	kind	title	station	theme	language	styleSanitized	promptLineCount	lyricLineCount	timingBasis	timingVerified	primaryLyricsSource
2f332d7d-3202-4e03-ac8e-c8c057223685	catalog-track	छट का दिन	gurukul	Other / Misc	Hindi	NULL	34	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_2f332d7d_छट का दिन.txt
2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a	catalog-track	हनु मूड खाने	gurukul	Other / Misc	Hindi	Genre: Indian folk rock, devotional chanting, fast tempo, dholak and tabla rhythm, energetic male vocal; Verse 1 - Rap style, rhythmic; Chorus - Melodic, rising energy; Verse 2 - Medium tempo, mysterious; Bridge - Slow, building tension; Climax - High energy, full folk orchestra	38	38	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_2bfbe15e_हनु मूड खाने.txt
86fe2a68-593c-4b20-a76a-d0f504f89943	catalog-track	हट हट हट होनी तू हट	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha	34	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_86fe2a68_छट का दिन.txt
974ae0bf-c90c-47bb-803a-18160360bc54	catalog-track	हट हट हट होनी तू हट	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha	38	38	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_974ae0bf_हनु की पटक.txt
75291d2d-784d-46f7-8c5a-774e99eb3e3e	catalog-track	सिंहिका पथ दियाये केतु भागे भटका भटक	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha; Genre: Indian folk rock, devotional chanting, fast tempo, dholak and tabla rhythm, energetic male vocal; Verse 1 - Rap style, rhythmic; Chorus - Melodic, rising energy; Verse 2 - Medium tempo, mysterious; Bridge - Slow, building tension; Climax - High energy, full folk orchestra	38	38	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_75291d2d_हनु मूड खाने.txt
fa8592bb-2d3c-443d-aaf7-9882825a0f19	catalog-track	हनु की पटक	gurukul	Other / Misc	Hindi	फंक	38	38	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_fa8592bb_हनु की पटक.txt
4ddbdc9c-240c-4e5d-8b50-ee61576d136e	catalog-track	हट हट हट होनी तू हट	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha	45	45	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_4ddbdc9c_स्वरभानु माँ सिखाए.txt
01e30f52-01cf-403d-af40-041dac751bd0	catalog-track	स्वरभानु माँ सिखाए	gurukul	Other / Misc	Hindi	NULL	45	45	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_01e30f52_स्वरभानु माँ सिखाए.txt
25e7d717-7de7-45e6-8f5e-c53ef846cac3	catalog-track	छत-छट ताल	gurukul	Other / Misc	Hindi	NULL	30	29	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_25e7d717_छत-छट ताल.txt
30e92ffe-423f-48cf-9e93-5fd9bb7113c1	catalog-track	विज़ुअल: अंतरिक्ष में तैरते हुए ३३-डिजिट संख्या	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	30	29	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_30e92ffe_छत-छट ताल.txt
d5f6d9bc-5c76-48d6-859d-957ef84f79b3	catalog-track	हनुमान-अनुमान छट	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Heavy cinematic Vedic metal-phonk epic, 115 to 142 BPM, roaring traditional dhol	28	28	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_d5f6d9bc_हनुमान-अनुमान छट.txt
1bb556f0-a4fb-4994-9096-3ab4f66de0b8	catalog-track	विज़ुअल: अंतरिक्ष में घूमते सूर्य और ग्रहों के ब	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	28	28	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_1bb556f0_हनुमान-अनुमान छट.txt
ada89c81-d8fa-4ec0-9938-d9435397b7cd	catalog-track	हा... हू... हौ... हन्... हनु... हनु... हनु... मा	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus Drop - Aggressive 'Chhat!' strike):	29	21	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_ada89c81_३३-डिजिट नियॉन.txt
a24721b3-51c9-48b8-997b-0aab5ae3f158	catalog-track	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	kabir-clubbing	Bhakti & Katha	English	Bhakti & Katha	7	4	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_a24721b3_ह्-हनु अनुमान.txt
