rank	count	tag
1	207	Sanatan & Vedic
2	104	NULL
3	92	Bhakti & Katha
4	74	Haryanvi Folk
5	41	Rap & Fusion
6	29	Desh / Patriotic
7	22	Other / Misc
8	13	Love & Virah
9	9	Afro-Phonk Fusion, Vedic Chanting, Modern Indian Folk, Neon-Sufi, Syncopated Dje
10	9	Genre:  Vedic Cosmic Rap  Nautanki folk + Hip-hop  Cinematic mythological rap  I
11	9	Hard Philosophical Rap — “नियमों का हऊआ”  दार्शनिक, व्यंग्यात्मक और तीखा clear m
12	6	Funky folk duet with earthy groove and sensual playful chemistry between lovers
13	5	[Style: Indian classical, Raga Todi, slow 70 BPM, female devotional, acoustic, b
14	5	Aggressive Indian hard rap, underground hip hop, dark spiritual theme, heavy 808
15	5	Dark Drift Phonk, Afrobeat percussion, Cyber-Sufi, Cinematic Space Atmosphere, H
16	5	Divine Vedic hip-hop rap with Sanskrit chanting, deep 808 bass, damaru percussio
17	5	soul devotional with live folk
18	4	"Indian Classical Bandish, Hindustani Vocal, Ragam-Tanam-Pallavi style, Acapella
19	4	[Style: Sufi Qawwali, Male vocal solo and ensemble, No instruments, Only human v
20	4	aghories sitting with german sages... adwait sitting sings his heart out in ange
21	4	Cinematic Hip-Hop, Dark Drill, 140 BPM, Deep Sub-bass, Atmospheric Wind SFX Intr
22	4	dark erotic hip hop, hyper rap, horrorcore, trap metal, 150 BPM, distorted 808s,
23	4	haryanvi super energy hip hop rap
24	4	hyper rap
25	4	Indian classical, Raga Darbari Kanhada, slow alap intro, deep dark mood, tanpura
26	4	Male  vocal, hyperpop / hyperrap, high energy, fast tempo 160 BPM, aggressive 80
27	4	Playful energetic Indian electronic folk-pop, 112 BPM, bouncy tech-folk drums, c
28	4	style  qawwali with heavy taan  murki  toda  hindustani classical ornamentation
29	4	Style/Genre: Afro-house meets Sexy Drill meets Indian Bhajan, 110 BPM, heavy log
30	4	super fun funky rap with dog souls..  a bitch being  requested by dog. howls, do
31	4	trance hip-hop haryanvi flavour
32	3	[Artist: P.H.K.D. (Pure Honest Kabir Driven) Genre: Spiritual Phonk / Cinematic
33	3	[Genre: Devotional Folk Rock, Bhajan, Energetic Chant, Rajasthani Folk] [Tempo:
34	3	[Genre: Haryanvi folk, Rajasthani folk, Afghan rubab, dambura, dhol, bakhshi sty
35	3	[Style: Indian devotional bhajan, Hindustani classical, Raga Khamaj, Taal Keherw
36	3	Bilingual indie ballad in E minor, 68 BPM. Intimate, healing, unresolved. Intro:
37	3	Cinematic Vedic Psy-Trap, 145 BPM, Heavy pulsating 808 Sub-bass, Fast-paced Trib
38	3	Dark Drift Phonk, Heavy Distorted 808 Bass, Cowbell Melody, Fast Afro-Phonk Perc
39	3	Epic divine hip-hop, heavy cinematic bass, conch shell intro, Vedic choir textur
40	3	Epic Indian patriotic cinematic war anthem about a brave soldier and a mother’s
41	3	Epic multilingual scientific rap mixing Latin chant, Siddham script mantra, Sans
42	3	Epic Vedic rap, Rigvedic chanting intro, powerful hip-hop trap beat, Indian clas
43	3	folk fusion
44	3	Funky folk duet about lovers discovering cosmic love and body-mind harmony. Use
45	3	Genre: Mystical Sanskrit Philosophy Song  Style: Indian classical + cinematic am
46	3	Global cinematic spoken word, deep Indian philosophical poetry, fusion of world
47	3	Haryanvi Ragni-Trap Fusion, Psytrance, 432Hz Tuning, Cinematic Vedic Bass, Aggre
48	3	Haryanvi-Bagri Folk Fusion, Psychedelic Trance, Khamak-driven rhythmic vibration
49	3	Indian EDM bhajan fusion. Tempo: 110 BPM. Style: devotional electronic + festiva
50	3	kids rap
51	3	Lullaby, Indian Folk, Soft Female or Male Vocals, Harmonium, Gentle Tabla, Bansu
52	3	Naagin & Mystic
53	3	Raw street temple qawwali, Raga Todi, live at Nidhivan Vrindavan, thousands of g
54	3	start with hyperfun funk hiphop adwait and bhairav on bike maya and Pop, Latin P
55	3	style  slow sufi ghazal  indian classical  hindustani  minimal  ambient  no perc
56	3	Style: Haryanvi Folk Ragni, Jogi Spiritual Anthem, Human Voice Driven, Minimal
57	3	Style: Lo-fi Hip Hop, Chillhop, Indian folk sample, 75 BPM, soft male vocals, v
58	3	The Drill Beat: गाने के बीच में जब 'ड्रिल भी लेगे' आए, तो संगीत में एक मशीनी धात
59	3	सिनेमैटिक ड्रामा कैरेक्टर्स लार्जर देन लाइफ न्यूरल चक्रा अवेकनिंग the science वै
60	2	॥ लोक-संगीत का 'बंडल' विश्लेषण ॥शैली (Folk Style)मुख्य तत्व (Element)प्रभाव (Eff
61	2	"Agori Folk-Rock, Cinematic Shiva Tandav, Tribal Fusion, High-energy Dhak and Da
62	2	"High energy Haryanvi folk song, 120 BPM, heavy traditional dhol, stadium crowd
63	2	"solo phakkad and whistle only no equipments"
64	2	[Genre: Cinematic Horror × Rajasthani Folk × Dark Disco × Haryanvi Vampire Weste
65	2	[Genre: Desi Hip Hop, Boom Bap, Slow to Mid Tempo Rap] [BPM: 85-95] [Vocal Style
66	2	[Genre: Psytrance, Funky House, Hyperpop, Indian Fusion, 145 BPM, Male Vocals, H
67	2	[Genre: Qawwali × Hip-Hop Fusion, Indian Devotional Folk, Comedy, Urban Desi, Ma
68	2	[style: Afro-house meets Sexy Drill meets Indian Bhajan, 110 BPM, log drums, con
69	2	[Style: Cyberpunk + Hyper Rap + Neural Lo-fi + Raw Kabir + Time Travel Vibe + Da
70	2	[Style: Hindustani Classical + Folk + Bollywood Sad + Acoustic Guitar + Tabla +
71	2	[Style: Indian Folk + Rajasthani Mand + Tribal + Ambient + Devotional + Cinemati
72	2	[Style: Rajasthani Folk Fusion, Mand, Ghoomar, Devotional]  [Concept] Gangaur so
73	2	[Style: Rajasthani Folk, Mand, Village Women Chorus, Festive, Simple]  [Tempo: 9
74	2	[Style: World's saddest folk singing, extremely melancholic, cry voice, male rur
75	2	[Title: Shakti Jaag Ri – Manushya Chetna Jagriti]  [Style: Indian devotional, Ve
76	2	[Title] खोकन और पराई नाव — Cosmic Stadium Anthem  [Style] Baul Folk  + Trap Beat
77	2	[Title] खोकन और पराई नाव — Cosmic Stadium Anthem  [Style] Baul Folk + Stadium An
78	2	100-voice Vedic choir  Trap + orchestral beat  Ancient instruments (lyre, mridan
79	2	1980s lo-fi field recording, live at Nidhivan temple courtyard, Raga Todi, Raw B
80	2	A dark and atmospheric Hindi indie-folk track with a haunting, cinematic quality
81	2	Aggressive Haryanvi Hyperrap fused with powerful Sufi Qawwali claps, high-impact
82	2	aghories with been, khamak, damru, naad... shiv gaNa aghore. rudra veeNa.  only
83	2	Bollywood Romantic Duet Emotional Ghazal Pop Soft Acoustic Love Song
84	2	Cinematic Global Fusion, Haryanvi Folk-Opera, Raag Shivranjani & Marwa base, 60
85	2	Cinematic Vedic Neural-Raaga Fusion, 432Hz Sacred Tuning. Devine Tribal-Rock, Ag
86	2	Cinematic Vedic-Blues Fusion, Aggressive Haryanvi Folk-Rock, Deep Guttural Aghor
87	2	Cinematic Vedic-Trap, Heavy 808 Bass, 140 BPM, Aggressive Haryanvi Ragni Rap flo
88	2	create a bollywood patriotic blockbuster song about a brave indian soldier and a
89	2	create a cinematic bollywoodstyle patriotic song from the perspective of a proud
90	2	Cyber-Sufi Afro-Phonk, Heavy Distorted 808 Bass, Cowbell Phonk Melody, Fast Sync
91	2	Dark Cinematic Urdu Drill, Emotional Atmospheric Intro, 140 BPM, Heavy Sliding 8
92	2	Desi haryanvi SuperFun superstar nagin।। 1000 snake charmers.. 1000 pungi.. 1 so
93	2	Drill, Urdu/Hindi poetry, Ghazal elements, slow melodic hook, heavy 808 bass, em
94	2	Epic cinematic hip-hop track called “Cosmic Egg Civilization Rap”. Tempo around
95	2	Epic Indian cinematic anthem, Baahubali style chorus, deep war drums, powerful m
96	2	Epic philosophical Indian rap with Sanskrit chanting intro, deep trap beat, dama
97	2	Epic stadium anthem devotional song, male chorus with crowd chants, powerful dru
98	2	Fast rap version (200 BPM) 🔥 Divine battle rap of gods and human
99	2	Funky हरियाणवी folk duet about lovers discovering cosmic love and body-mind harm
100	2	Funky हरियाणवी folk रगनी duet
101	2	Genre: Haryanvi Folk Ragni  Theme: Betrayal and emotional virah of a woman whose
102	2	Genre: Philosophical Sufi Rap Fusion Tempo: 90 BPM Scale: D minor Mood: Deep, in
103	2	global fun haryanvi-superstar..  1000 girls 1 boy
104	2	Haryanvi Accent , Style: Haryanvi Folk Fusion, Patriotic Rock, Powerful Male Voc
105	2	Haryanvi Folk Pop, Trap, Energetic, Raw, Male Vocals, Dholak, Harmonium
106	2	Haryanvi folk ragni, Sufi qawwali, cinematic anthem, Vedic chant, epic choir, sp
107	2	Haryanvi ragni folk song with trap rap flow but only traditional instruments. Us
108	2	haryanvi ragni super funk
109	2	Haunting Haryanvi Folk Fusion, Raag Shivranjani base, Pathos, Melancholic, Ether
110	2	High-energy Cyberpunk Phonk fused with Aggressive Indian Drill, crushing distort
111	2	Hindustani classical raga Bilawal, male heroic vocal, dhol shehnai, war drums, 7
112	2	Hindustani classical, Bollywood ballad, Raga Yaman, 75 BPM, sitar, tabla, harmon
113	2	Hip।hop superstar nagin।। 1000 snake charmers.. 1000 pungi.. 1 soulfull pungi br
114	2	Hyper Rap, Punjabi Trap, 170 BPM, male rapid-fire vocals, chaotic fun, meme ener
115	2	hyper rap.. greek.. thrill.. conspiracy.. anger.. hope
116	2	impact , realization , revolt
117	2	Indian folk fusion, bansuri flute, meditative drone,  cyberpunk eastern, raw kab
118	2	Indian Psychedelic Folk, Memphis Phonk, hypnotic Ektara loops, train rhythmic ch
119	2	lets create environment as a village where a husband is singing to his wife. hip
120	2	neural
121	2	neural radio program for students
122	2	pain hyper
123	2	Punjabi folk fusion ballad in E (Punjabi folk scale: E F# G# B C#). 70 BPM Dhama
124	2	Soprano textures, Indian classical, Raga Darbari Kanhada, slow alap intro, deep
125	2	Style: Egyptian lullaby + cinematic awakening anthem + Sufi-orchestral folk Mood
126	2	Style: French folk + Enlightenment anthem + divine call  Instrumentation: French
127	2	Style: Haryanvi Folk Ragni, Jogi Spiritual Anthem, Human Voice Driven, Minimal F
128	2	Style: Haryanvi Folk-Drill x Industrial Qawwali Fusion. Atmosphere: A high-stake
129	2	Style: real radio, sanaatana telecast
130	2	Style: Vedic chant + Sufi qawwali fusion Tempo: 90 BPM gradually rising to 105 B
131	2	Style/Genre: Haryanvi Folk-Drill, Industrial Qawwali Fusion, Cinematic Dark Synt
132	2	super fun funky rap mix hyper fun
133	2	super funky  revolutionary  Verse 1 (Rap)  Hook / Crowd chant  Verse 2 (Rap)  Br
134	2	Tempo: 92–96 BPM Trap + Ethnic Drums  Instruments: Rudra veena, damru, French ho
135	2	The Pungi Effect: पुंगी की आवाज़ को 'Eco' और 'Reverb' के साथ इस्तेमाल करें ताकि
136	2	use snake charmers orchestra. aghor rock
137	2	Vedic mantra rap, deep Indian spiritual hip-hop, male powerful voice with Sanskr
138	2	warm analog saturation, plate reverb on vocals, close-mic vocal position, tabla
139	2	अद्वैत अद्वैत द्वैत द वैत त   द्वैतत तत तत तत तट  त्री कट ट्री कट कट  त्रिकट रिक
140	2	आत्मा जगराना जागो जागो जागो हेमंत राणा जी महाराज मेरे तुम दीक्षित प्यारे  बेटे ह
141	2	गाँव की सुपर मस्ती
142	2	छोटे rhythmic lines  बार-बार action hooks  बच्चों का choir response  clear moral
143	2	बीटबॉक्स + इरोटिक साउंड्स + हाइपर रैप BPM: 130 से शुरू (धीमा, घुटता हुआ) → बीच म
144	2	वैदिक तंत्र हेमंत तत्व
145	2	सुपर फंकी
146	2	सुरीले भैरव कुकुर्  के रूप में लाली कुतिया रूप में सुपर फंकी। Neuro-Tantra Folk
147	2	स्थायी (Chorus): "शक्ति जाग री" — यह चेतना के सामूहिक उत्थान का आह्वान है।  लय (
148	1	.  🎵 KA KAA RAHASYA (क का रहस्य) [मृदंगम –  – सारंगी संग ] Add sargam notation (
149	1	.  🎵 KA KAA RAHASYA (क का रहस्य) A Narrator-Style Neural Mystical Ballad Directi
150	1	॥ स्वर्भानु: AI म्यूजिक प्रोम्प्ट्स (The Coding Guide) ॥ १. महा-एन्थम प्रोम्प्ट
151	1	॥ स्वर्भानु: देसी AI प्रोम्प्ट्स (The Folk Edition) ॥ १. हरियाणवी रागनी-रॉक (तर्
152	1	"100% Acoustic Ritual Folk, Neural Trance, No Electronic Instruments. Raw and hy
153	1	"A cinematic, emotional scene in a rustic Indian village. A brave mother with a
154	1	"A dark, gothic Cinematic Opera fusion. Dramatic Orchestral score with soaring v
155	1	"A haunting and minimalist 'Phakkad' soundscape. The core rhythm is a deep, reso
156	1	"A haunting, cinematic Avant-Garde Folk-Fusion based on Raag Todi. 100% Human-ge
157	1	"A high-octane Psytrance and Haryanvi Folk Fusion anthem. Tempo: 145 BPM. Vocals
158	1	"A raw, minimalist, and hauntingly soulful PHKD (Folk-HipHop-Kabir) fusion. The
159	1	"A soulful and cinematic Global-Folk fusion farewell song based on Raag Pilu. >
160	1	"Acapella Qawwali, Indian Folk Fusion, Vocal Percussion, Beatboxing, Human whist
161	1	"Acapella, Aggressive Beatboxing, Vocal Bass, Whistling, Dark Indian Folk Fusion
162	1	"Epic Cinematic-Carnatic Fusion. Hybrid of Ancient Mesopotamian Lyre and heavy S
163	1	"Grand Republic Day Brass Band, Heavy Snare Drum Rolls, Triumphant Trumpets, Orc
