name	path	relevance	score	packageName	radioPathHits	contentMatches	radioScripts	moduleDirs	notableFiles	remote	notes
for_radio	/Volumes/LaCie/pprm/for_radio	high	27526	vaishviq-knowledge-runtime	470	25785	radio:milestones: node scripts/product-factory/complete-radio-next-milestones.mjs | radio:hdfc:test: PYTHONPATH=integrations/hdfc-upi-parser python3 -m unittest discover -s integrations/hdfc-upi-parser/tests | radio:proof:milestones: node scripts/product-factory/complete-radio-proof-milestones.mjs | radio:payment:proof: node scripts/product-factory/verify-radio-payment-proof.mjs | radio:playback:gate: node scripts/product-factory/prepare-radio-playback-gate.mjs | radio:rights:packet: node scripts/product-factory/prepare-radio-rights-closure-packet.mjs | radio:rights:closure: node scripts/product-factory/verify-radio-rights-closure.mjs | radio:promote: node scripts/promote-verified-tracks.mjs | radio:rights:proof: node scripts/prepare-radio-asset-rights-proof.mjs | radio:verified:list: node scripts/prepare-radio-track-verified-list.mjs | radio:stations: node scripts/assign-stations.mjs | radio:remaining:packets: node scripts/product-factory/prepare-radio-remaining-proof-packets.mjs | radio:release:review: node scripts/product-factory/verify-radio-release-review.mjs | radio:customer:release: node scripts/product-factory/prepare-radio-customer-release-milestone.mjs | radio:release:check: node scripts/product-factory/radio-release-evidence-orchestrator.mjs | radio:storage:audit: node scripts/media-storage-audit.mjs | radio:tracks:import: node scripts/import-radio-tracks-to-db.mjs | radio:lyrics:prompter: node scripts/build-lyrics-prompter-data.mjs | radio:lyrics:sync: node scripts/check-lyrics-prompter-sync.mjs | radio:admin:kanban: node scripts/build-radio-admin-kanban.mjs | radio:tree:detail: node scripts/build-radio-tree-detail.mjs | radio:repo:scan: node scripts/scan-radio-related-repositories.mjs	RADIO_COMMERCE_SPEC.md | RADIO_JOCKEY_TRANSCRIPTS.md | RADIO_MEDIA_STORAGE.md | RADIO_RECOLLECTED_STRUCTURE.md | RADIO_RELEASE_ROADMAP.md | RADIO_TRACK_ONBOARDING_SOP.md | RADIO_VAIGYAANIQ_BLUEPRINT.md | apps/desktop/public | apps/desktop/src | apps/radio | apps/radio/app | apps/radio/lib | apps/radio/prisma | apps/radio/scripts | apps/web/app | apps/web/public | packages/shared/src | prisma/migrations/20260627001000_radio_track_catalog_metadata | proposals | scripts | scripts/product-factory | tests | आज की बात सुनो रे (Aaj Ki Baat Suno Re).mp3 | रेडियो सनातन वैज्ञानिक (Radio Sanatan Vaigyanik - Current).mp3 | रेडियो सनातन वैज्ञानिक (Radio Sanatan Vaigyanik - Fallback).mp3 | सुनो री सखियों (Suno Ri Sakhiyon).mp3	RADIO_COMMERCE_SPEC.md | RADIO_JOCKEY_TRANSCRIPTS.md | RADIO_MEDIA_STORAGE.md | RADIO_RECOLLECTED_STRUCTURE.md | RADIO_RELEASE_ROADMAP.md | RADIO_TRACK_ONBOARDING_SOP.md | RADIO_VAIGYAANIQ_BLUEPRINT.md | apps/desktop/public/radio-html/PROVENANCE.json | apps/desktop/public/radio-html/Radio_Account.html | apps/desktop/public/radio-html/Radio_Pricing_Checkout.html | apps/desktop/public/radio-html/Radio_Vaigyaaniq_All_Html_Links.json | apps/desktop/public/radio-html/Radio_Vaigyaaniq_App_Prototype.html | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Asset_Manifest.json | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Full_App.html | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Full_App_Scaffold.json | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Future_Structure.json | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Html_Route_Matrix.json | apps/desktop/public/radio-html/Radio_Vaigyaaniq_Maataa.html | AGENTS.md | PHASE_4_5_RUNBOOK.md | RIGHTS_CLOSURE_RUNBOOK.md | apps/desktop/README.md | apps/desktop/evidence/app-open-report.json | apps/desktop/evidence/bundle-report.json	origin https://github.com/wortforfilms/radio.git (fetch)	Primary Radio Vaigyaaniq runtime workspace.
mom	/Users/vesahe/revenue/live/mom	high	8609	maataa	119	8127	NULL	VAIGYAANIQ_CONTENT_REVIEW.md | VAIGYAANIQ_PRODUCT_REVIEW.md | VAIGYAANIQ_PUBLIC_PREVIEW.md | VAIGYAANIQ_RELEASE_GAPS.md | VAIGYAANIQ_UX_REVIEW.md | packages/maataa-ui/src | packages/theme/src | prisma/ecosystem | prisma/ecosystem/seed | product/radio-vaigyaaniq | release/artifacts/lipi-final-package | release/captures/cloudflare-zones | release/captures/reports | release/captures/screenshots | release/captures/traces | release/evidence | release/hemant-samwat/frames | release/vaigyaaniq | reports | reports/approvals | reports/video-evidence/latest | reports/video-evidence/runs | scripts | scripts/product-factory | tmp/mom-product-universe-banners-hires	VAIGYAANIQ_CONTENT_REVIEW.md | VAIGYAANIQ_PRODUCT_REVIEW.md | VAIGYAANIQ_PUBLIC_PREVIEW.md | VAIGYAANIQ_RELEASE_GAPS.md | VAIGYAANIQ_UX_REVIEW.md | packages/maataa-ui/src/radio/UnlockTrustStrip.tsx | packages/theme/src/themes/radio.ts | packages/theme/src/themes/vaigyaaniq.ts | prisma/ecosystem/seed/vaigyaaniq.seed.ts | prisma/ecosystem/vaigyaaniq.prisma | product/radio-vaigyaaniq/README.md | product/radio-vaigyaaniq/meta-tag-intelligence.json | product/radio-vaigyaaniq/radio-knowledge-graph.json | product/radio-vaigyaaniq/radio-vaigyaaniq-scaffold.json | product/radio-vaigyaaniq/release-order.json | release/artifacts/lipi-final-package/sources/html-prototypes/lipi.vaigyaaniq.online.html | release/artifacts/lipi-final-package/sources/html-prototypes/scripts.vaigyaaniq.online.html | release/captures/cloudflare-zones/vaigyaaniq.com.zone | AGENTS.md | CHANGELOG.md | MAATAA_CONSOLIDATION_ADR.md | MAATAA_CONSOLIDATION_IMPLEMENTATION_PLAN.md | MAATAA_CONSOLIDATION_PACKAGE_TABLE.md | MAATAA_CONSOLIDATION_RISKS.md	origin https://github.com/workforfilms/mom.git (fetch)	Radio-related modules or artifacts detected from paths/content. File scan capped for speed.
maataa-os	/Volumes/LaCie/pprm/tlps.in/maataa-os	high	375	maataa-os	1	367	NULL	src/ipc	src/ipc/radio.rs | COMPLETION_STATUS_MATRIX.json | COMPLETION_STATUS_MATRIX.md | apps/kbs/components/KbsShell.tsx | apps/system/aam-jantaa-interface.ts | apps/tlp/production-os/data/appliances.json | assets/_sdk/element_sdk.js | data/domain-registry.json | data/kbs-image-extraction.json | data/kbs-runtime-board-extraction.json | data/language-interface-matrix.json | data/maataa-ecosystem-merkle-tree.json | data/maataa-ecosystem-wall.json | data/milestones-vs-current.json | data/plug-and-play-streaming-device.json | dist-golden/maataa-os-0.1.0-alpha.1/ui/assets/index-C4MmjbKr.js | docs/PRODUCTION_HARDENING_MATRIX.md | docs/STRUCTURE.md | docs/aam-jantaa-launch-strategy.md	origin https://github.com/wortforfilms/os.git (fetch)	Radio-related modules or artifacts detected from paths/content.
maataa-os	/Users/vesahe/revenue/live/maataa-os	high	151	maataa-os	1	143	NULL	src/ipc	src/ipc/radio.rs | COMPLETION_STATUS_MATRIX.json | apps/kbs/components/KbsShell.tsx | apps/system/aam-jantaa-interface.ts | apps/tlp/production-os/data/appliances.json | data/kbs-image-extraction.json | data/kbs-runtime-board-extraction.json | data/language-interface-matrix.json | data/maataa-ecosystem-merkle-tree.json | data/maataa-ecosystem-wall.json | data/plug-and-play-streaming-device.json | dist-golden/maataa-os-0.1.0-alpha.1/ui/assets/index-C4MmjbKr.js | docs/PRODUCTION_HARDENING_MATRIX.md | docs/STRUCTURE.md | docs/aam-jantaa-launch-strategy.md | docs/maataa-ecosystem-merkle-tree.md | docs/maataa-ecosystem-wall.md | docs/plug-and-play-streaming-device.md | packages/kbs-runtime/src/runtime-board.ts	origin https://github.com/wortforfilms/os.git (fetch)	Radio-related modules or artifacts detected from paths/content.
vaigyaanik.online	/Users/vesahe/Documents/GitHub/vaigyaanik.online	medium	54	news.vaigyaaniq.online	0	54	NULL	NULL	package-lock.json | package.json | public/html/epg.html | public/html/index.html | public/html/join.html | public/html/langosphere.html | public/html/multilive.html | public/html/news.html | public/html/payment/subscription.html | public/html/url-monitor.html | public/html/vstv.html | src/app/layout.tsx | src/app/page.tsx | src/components/bar/nav.tsx | src/components/footer.tsx | src/components/page/about.tsx	origin https://github.com/vidhaan-tech/vaigyaanik.online.git (fetch)	Radio-related content references detected.
aham	/Users/vesahe/Downloads/aham	medium	35	mahavisphot-compositor	0	35	NULL	NULL	docs/mahavisphot/USER_MANUAL.md | editor/runtime-collectors.js | packages/maataa-ui/README.md | packages/maataa-ui/docs/surface-primitive.md | packages/maataa-ui/src/icons.js | packages/maataa-ui/src/primitive.js | packages/maataa-ui/src/runtimes.js | packages/maataa-ui/src/senses.js | public/mahavisphot/scaffolds/mahavisphot-studio-scaffolds.js | public/mahavisphot/scaffolds/mahavisphot-studio-scaffolds.json | public/mahavisphot/workflows/audio-mix.html | scripts/generate-mahavisphot-scaffold.mjs | scripts/mahavisphot-compile-manual.js | scripts/mahavisphot-studio-scaffolds.mjs | src/mahavisphot/data/mahavisphot-schema.json | src/mahavisphot/registry/mahavisphot-modules.ts | src/mahavisphot/registry/mahavisphot-schema.ts	origin https://github.com/wortforfilms/aham.git (fetch)	Radio-related content references detected.
maataa-ui	/Users/vesahe/Documents/maataa-ui	medium	28	maataa-ui-electron	1	20	NULL	docs/prompts	docs/prompts/maataa-vaigyaaniq-master-system-prompt.md | .claude/CLAUDE.md | AGENTS.md | CLAUDE.md | packages/maataa-runtime-widgets/evidence/registry.ts | packages/maataa-runtime-widgets/registry/frame-index-registry.ts | packages/maataa-runtime-widgets/registry/section-registry.ts | packages/maataa-runtime-widgets/registry/widget-registry.ts	NULL	Radio-related modules or artifacts detected from paths/content.
shree-finance-os	/Volumes/LaCie/pprm/tlps.in/maataa-os/shree-finance-os	low	8	shree-finance-os	0	8	NULL	NULL	release/evidence/rates/india-hsn-directory-ingestion.json | release/evidence/snapshots/in-cbic-gst-services-rate-schedule-pdf.extracted.txt	origin https://github.com/wortforfilms/os.git (fetch)	Radio-related content references detected.
parinaya	/Users/vesahe/Documents/parinaya	low	1	tlp-wedding-cad-studio	0	1	NULL	NULL	src/lib/surfaces/runtime-surfaces.ts	origin https://github.com/wortforfilms/prinaya.git (fetch)	Radio-related content references detected.
hkd	/Users/vesahe/Documents/GitHub/hkd	none	0	NULL	0	0	NULL	NULL	NULL	origin https://github.com/vidhaan-tech/hkd.git (fetch)	No radio-related path/content hits in scanned files.
